PacBio_Accession	Genename_from_GTF	Genename_from_FASTA	ENSG_from_GC	PacBio_Descr_from_GTF	In_GTF	In_FASTA
ENSMUST00000227662.2	Enox1	Enox1	ENSMUSG00000022012	Enox1|ENSMUST00000227662.2|nan	yes	yes
ENSMUST00000026649.14	Syngr2	Syngr2	ENSMUSG00000048277	Syngr2|ENSMUST00000026649.14|nan	yes	yes
ENSMUST00000049411.12	Apex1	Apex1	ENSMUSG00000035960	Apex1|ENSMUST00000049411.12|nan	yes	yes
ENSMUST00000124488.7	Trdmt1	Trdmt1	ENSMUSG00000026723	Trdmt1|ENSMUST00000124488.7|nan	yes	yes
ENSMUST00000226561.2	Ermard	Ermard	ENSMUSG00000036552	Ermard|ENSMUST00000226561.2|nan	yes	yes
ENSMUST00000223703.2	Epb41l3	Epb41l3	ENSMUSG00000024044	Epb41l3|ENSMUST00000223703.2|nan	yes	yes
ENSMUST00000166131.2	Vmn2r61	Vmn2r61	ENSMUSG00000090967	Vmn2r61|ENSMUST00000166131.2|nan	yes	yes
ENSMUST00000061771.9	Fktn	Fktn	ENSMUSG00000028414	Fktn|ENSMUST00000061771.9|nan	yes	yes
ENSMUST00000025794.7	Aldh3b3	Aldh3b3	ENSMUSG00000037263	Aldh3b3|ENSMUST00000025794.7|nan	yes	yes
ENSMUST00000077528.7	Klk1b22	Klk1b22	ENSMUSG00000060177	Klk1b22|ENSMUST00000077528.7|nan	yes	yes
ENSMUST00000056931.14	Ldb1	Ldb1	ENSMUSG00000025223	Ldb1|ENSMUST00000056931.14|nan	yes	yes
ENSMUST00000188807.4	Gm21083	Gm21083	ENSMUSG00000096878	Gm21083|ENSMUST00000188807.4|nan	yes	yes
ENSMUST00000069705.11	Agbl5	Agbl5	ENSMUSG00000029165	Agbl5|ENSMUST00000069705.11|nan	yes	yes
ENSMUST00000120679.8	Ccnc	Ccnc	ENSMUSG00000028252	Ccnc|ENSMUST00000120679.8|nan	yes	yes
ENSMUST00000025062.5	Clps	Clps	ENSMUSG00000024225	Clps|ENSMUST00000025062.5|nan	yes	yes
ENSMUST00000197850.5	Cspg5	Cspg5	ENSMUSG00000032482	Cspg5|ENSMUST00000197850.5|nan	yes	yes
ENSMUST00000053705.8	B4gat1	B4gat1	ENSMUSG00000047379	B4gat1|ENSMUST00000053705.8|nan	yes	yes
ENSMUST00000171215.8	Zfp106	Zfp106	ENSMUSG00000027288	Zfp106|ENSMUST00000171215.8|nan	yes	yes
ENSMUST00000034499.10	Dcun1d5	Dcun1d5	ENSMUSG00000032002	Dcun1d5|ENSMUST00000034499.10|nan	yes	yes
ENSMUST00000108189.9	Ccl1	Ccl1	ENSMUSG00000020702	Ccl1|ENSMUST00000108189.9|nan	yes	yes
ENSMUST00000117140.8	Rgp1	Rgp1	ENSMUSG00000028468	Rgp1|ENSMUST00000117140.8|nan	yes	yes
ENSMUST00000052911.8	Mgat4e	Mgat4e	ENSMUSG00000046367	Mgat4e|ENSMUST00000052911.8|nan	yes	yes
ENSMUST00000034441.8	Aars1	Aars1	ENSMUSG00000031960	Aars1|ENSMUST00000034441.8|nan	yes	yes
ENSMUST00000168831.8	Slc6a8	Slc6a8	ENSMUSG00000019558	Slc6a8|ENSMUST00000168831.8|nan	yes	yes
ENSMUST00000067715.5	Pabpc1l	Pabpc1l	ENSMUSG00000054582	Pabpc1l|ENSMUST00000067715.5|nan	yes	yes
ENSMUST00000138299.2	Tnrc6c	Tnrc6c	ENSMUSG00000025571	Tnrc6c|ENSMUST00000138299.2|nan	yes	yes
ENSMUST00000173839.2	Nnat	Nnat	ENSMUSG00000067786	Nnat|ENSMUST00000173839.2|nan	yes	yes
ENSMUST00000038154.12	Mgarp	Mgarp	ENSMUSG00000037161	Mgarp|ENSMUST00000038154.12|nan	yes	yes
ENSMUST00000133717.9	Dlgap1	Dlgap1	ENSMUSG00000003279	Dlgap1|ENSMUST00000133717.9|nan	yes	yes
ENSMUST00000186081.7	Rgs6	Rgs6	ENSMUSG00000021219	Rgs6|ENSMUST00000186081.7|nan	yes	yes
ENSMUST00000101180.8	Gm15097	Gm15097	ENSMUSG00000094378	Gm15097|ENSMUST00000101180.8|nan	yes	yes
ENSMUST00000131109.8	Inpp5e	Inpp5e	ENSMUSG00000026925	Inpp5e|ENSMUST00000131109.8|nan	yes	yes
ENSMUST00000109389.9	Nprl3	Nprl3	ENSMUSG00000020289	Nprl3|ENSMUST00000109389.9|nan	yes	yes
ENSMUST00000127957.8	Apol6	Apol6	ENSMUSG00000033576	Apol6|ENSMUST00000127957.8|nan	yes	yes
ENSMUST00000047485.15	Rundc3b	Rundc3b	ENSMUSG00000040570	Rundc3b|ENSMUST00000047485.15|nan	yes	yes
ENSMUST00000173168.8	Urb2	Urb2	ENSMUSG00000031976	Urb2|ENSMUST00000173168.8|nan	yes	yes
ENSMUST00000120196.9	C2cd3	C2cd3	ENSMUSG00000047248	C2cd3|ENSMUST00000120196.9|nan	yes	yes
ENSMUST00000023507.13	Gsk3b	Gsk3b	ENSMUSG00000022812	Gsk3b|ENSMUST00000023507.13|nan	yes	yes
ENSMUST00000165124.8	Hpn	Hpn	ENSMUSG00000001249	Hpn|ENSMUST00000165124.8|nan	yes	yes
ENSMUST00000208074.2	Qars1	Qars1	ENSMUSG00000032604	Qars1|ENSMUST00000208074.2|nan	yes	yes
ENSMUST00000110883.9	Sun1	Sun1	ENSMUSG00000036817	Sun1|ENSMUST00000110883.9|nan	yes	yes
ENSMUST00000028190.13	Abl1	Abl1	ENSMUSG00000026842	Abl1|ENSMUST00000028190.13|nan	yes	yes
ENSMUST00000186452.7	Drgx	Drgx	ENSMUSG00000041730	Drgx|ENSMUST00000186452.7|nan	yes	yes
ENSMUST00000139173.3	Anks1	Anks1	ENSMUSG00000024219	Anks1|ENSMUST00000139173.3|nan	yes	yes
ENSMUST00000176252.2	Vmn1r7	Vmn1r7	ENSMUSG00000093696	Vmn1r7|ENSMUST00000176252.2|nan	yes	yes
ENSMUST00000107785.2	Cacna1g	Cacna1g	ENSMUSG00000020866	Cacna1g|ENSMUST00000107785.2|nan	yes	yes
ENSMUST00000062721.11	Lipi	Lipi	ENSMUSG00000032948	Lipi|ENSMUST00000062721.11|nan	yes	yes
ENSMUST00000030538.5	Ddost	Ddost	ENSMUSG00000028757	Ddost|ENSMUST00000030538.5|nan	yes	yes
ENSMUST00000029711.9	Insrr	Insrr	ENSMUSG00000005640	Insrr|ENSMUST00000029711.9|nan	yes	yes
ENSMUST00000140239.4	Cers1	Cers1	ENSMUSG00000087408	Cers1|ENSMUST00000140239.4|nan	yes	yes
ENSMUST00000237595.2	Slc4a9	Slc4a9	ENSMUSG00000024485	Slc4a9|ENSMUST00000237595.2|nan	yes	yes
ENSMUST00000087511.10	Tmem128	Tmem128	ENSMUSG00000067365	Tmem128|ENSMUST00000087511.10|nan	yes	yes
ENSMUST00000206928.2	Gp6	Gp6	ENSMUSG00000078810	Gp6|ENSMUST00000206928.2|nan	yes	yes
ENSMUST00000139666.8	Afdn	Afdn	ENSMUSG00000068036	Afdn|ENSMUST00000139666.8|nan	yes	yes
ENSMUST00000108335.8	Asph	Asph	ENSMUSG00000028207	Asph|ENSMUST00000108335.8|nan	yes	yes
ENSMUST00000090398.11	Dlg5	Dlg5	ENSMUSG00000021782	Dlg5|ENSMUST00000090398.11|nan	yes	yes
ENSMUST00000096202.2	Or5b118	Or5b118	ENSMUSG00000096273	Or5b118|ENSMUST00000096202.2|nan	yes	yes
ENSMUST00000137579.6	Tmem134	Tmem134	ENSMUSG00000024845	Tmem134|ENSMUST00000137579.6|nan	yes	yes
ENSMUST00000112118.8	Amelx	Amelx	ENSMUSG00000031354	Amelx|ENSMUST00000112118.8|nan	yes	yes
ENSMUST00000105439.2	Lrrtm3	Lrrtm3	ENSMUSG00000042846	Lrrtm3|ENSMUST00000105439.2|nan	yes	yes
ENSMUST00000049113.14	Ptprh	Ptprh	ENSMUSG00000035429	Ptprh|ENSMUST00000049113.14|nan	yes	yes
ENSMUST00000079130.14	Nmral1	Nmral1	ENSMUSG00000063445	Nmral1|ENSMUST00000079130.14|nan	yes	yes
ENSMUST00000086461.13	Rfc5	Rfc5	ENSMUSG00000029363	Rfc5|ENSMUST00000086461.13|nan	yes	yes
ENSMUST00000168507.2	Kctd20	Kctd20	ENSMUSG00000005936	Kctd20|ENSMUST00000168507.2|nan	yes	yes
ENSMUST00000129843.8	Myt1	Myt1	ENSMUSG00000010505	Myt1|ENSMUST00000129843.8|nan	yes	yes
ENSMUST00000172743.9	Vmn2r55	Vmn2r55	ENSMUSG00000091045	Vmn2r55|ENSMUST00000172743.9|nan	yes	yes
ENSMUST00000040721.9	Tpst1	Tpst1	ENSMUSG00000034118	Tpst1|ENSMUST00000040721.9|nan	yes	yes
ENSMUST00000224047.2	Mbd1	Mbd1	ENSMUSG00000024561	Mbd1|ENSMUST00000224047.2|nan	yes	yes
ENSMUST00000098444.9	Pard6a	Pard6a	ENSMUSG00000005699	Pard6a|ENSMUST00000098444.9|nan	yes	yes
ENSMUST00000031806.10	Cpa1	Cpa1	ENSMUSG00000054446	Cpa1|ENSMUST00000031806.10|nan	yes	yes
ENSMUST00000003207.11	Lipe	Lipe	ENSMUSG00000003123	Lipe|ENSMUST00000003207.11|nan	yes	yes
ENSMUST00000059244.3	Or6c33	Or6c33	ENSMUSG00000048745	Or6c33|ENSMUST00000059244.3|nan	yes	yes
ENSMUST00000165740.9	Tecr	Tecr	ENSMUSG00000031708	Tecr|ENSMUST00000165740.9|nan	yes	yes
ENSMUST00000160123.9	Sh2d6	Sh2d6	ENSMUSG00000052631	Sh2d6|ENSMUST00000160123.9|nan	yes	yes
ENSMUST00000050497.14	C87436	C87436	ENSMUSG00000046679	C87436|ENSMUST00000050497.14|nan	yes	yes
ENSMUST00000174391.8	Syncrip	Syncrip	ENSMUSG00000032423	Syncrip|ENSMUST00000174391.8|nan	yes	yes
ENSMUST00000162657.8	Cfap43	Cfap43	ENSMUSG00000044948	Cfap43|ENSMUST00000162657.8|nan	yes	yes
ENSMUST00000062829.9	Hoxa6	Hoxa6	ENSMUSG00000043219	Hoxa6|ENSMUST00000062829.9|nan	yes	yes
ENSMUST00000169612.3	Inafm1	Inafm1	ENSMUSG00000091811	Inafm1|ENSMUST00000169612.3|nan	yes	yes
ENSMUST00000028780.4	Chac1	Chac1	ENSMUSG00000027313	Chac1|ENSMUST00000028780.4|nan	yes	yes
ENSMUST00000106188.4	Pcyt2	Pcyt2	ENSMUSG00000025137	Pcyt2|ENSMUST00000106188.4|nan	yes	yes
ENSMUST00000026896.10	St8sia2	St8sia2	ENSMUSG00000025789	St8sia2|ENSMUST00000026896.10|nan	yes	yes
ENSMUST00000233282.2	Vmn2r15	Vmn2r15	ENSMUSG00000091375	Vmn2r15|ENSMUST00000233282.2|nan	yes	yes
ENSMUST00000218045.2	Hes3	Hes3	ENSMUSG00000028946	Hes3|ENSMUST00000218045.2|nan	yes	yes
ENSMUST00000185836.2	Mgat4e	Mgat4e	ENSMUSG00000046367	Mgat4e|ENSMUST00000185836.2|nan	yes	yes
ENSMUST00000080135.5	Adam26b	Adam26b	ENSMUSG00000063900	Adam26b|ENSMUST00000080135.5|nan	yes	yes
ENSMUST00000078362.13	Vrk2	Vrk2	ENSMUSG00000064090	Vrk2|ENSMUST00000078362.13|nan	yes	yes
ENSMUST00000238255.2	Lrp8	Lrp8	ENSMUSG00000028613	Lrp8|ENSMUST00000238255.2|nan	yes	yes
ENSMUST00000224400.2	A1cf	A1cf	ENSMUSG00000052595	A1cf|ENSMUST00000224400.2|nan	yes	yes
ENSMUST00000205214.3	Slco1c1	Slco1c1	ENSMUSG00000030235	Slco1c1|ENSMUST00000205214.3|nan	yes	yes
ENSMUST00000164235.3	Mapk1ip1l	Mapk1ip1l	ENSMUSG00000021840	Mapk1ip1l|ENSMUST00000164235.3|nan	yes	yes
ENSMUST00000119115.8	Mapk8ip3	Mapk8ip3	ENSMUSG00000024163	Mapk8ip3|ENSMUST00000119115.8|nan	yes	yes
ENSMUST00000179743.4	Pramel38	Pramel38	ENSMUSG00000096259	Pramel38|ENSMUST00000179743.4|nan	yes	yes
ENSMUST00000033468.11	Arhgef6	Arhgef6	ENSMUSG00000031133	Arhgef6|ENSMUST00000033468.11|nan	yes	yes
ENSMUST00000068036.2	Htr6	Htr6	ENSMUSG00000028747	Htr6|ENSMUST00000068036.2|nan	yes	yes
ENSMUST00000093800.9	Pls1	Pls1	ENSMUSG00000049493	Pls1|ENSMUST00000093800.9|nan	yes	yes
ENSMUST00000020699.4	Castor1	Castor1	ENSMUSG00000020424	Castor1|ENSMUST00000020699.4|nan	yes	yes
ENSMUST00000036328.9	Zfhx2	Zfhx2	ENSMUSG00000040721	Zfhx2|ENSMUST00000036328.9|nan	yes	yes
ENSMUST00000197082.5	Fam133b	Fam133b	ENSMUSG00000058503	Fam133b|ENSMUST00000197082.5|nan	yes	yes
ENSMUST00000238170.2	Bbs1	Bbs1	ENSMUSG00000006464	Bbs1|ENSMUST00000238170.2|nan	yes	yes
ENSMUST00000040234.9	Tsen2	Tsen2	ENSMUSG00000042389	Tsen2|ENSMUST00000040234.9|nan	yes	yes
ENSMUST00000227107.2	Pkd1	Pkd1	ENSMUSG00000032855	Pkd1|ENSMUST00000227107.2|nan	yes	yes
ENSMUST00000034507.9	Sesn3	Sesn3	ENSMUSG00000032009	Sesn3|ENSMUST00000034507.9|nan	yes	yes
ENSMUST00000072385.2	Vmn1r220	Vmn1r220	ENSMUSG00000096099	Vmn1r220|ENSMUST00000072385.2|nan	yes	yes
ENSMUST00000129306.4	Fscn1	Fscn1	ENSMUSG00000029581	Fscn1|ENSMUST00000129306.4|nan	yes	yes
ENSMUST00000225403.2	Rgr	Rgr	ENSMUSG00000021804	Rgr|ENSMUST00000225403.2|nan	yes	yes
ENSMUST00000099428.5	Hpse2	Hpse2	ENSMUSG00000074852	Hpse2|ENSMUST00000099428.5|nan	yes	yes
ENSMUST00000042405.8	Fbl	Fbl	ENSMUSG00000046865	Fbl|ENSMUST00000042405.8|nan	yes	yes
ENSMUST00000034889.10	Hcn4	Hcn4	ENSMUSG00000032338	Hcn4|ENSMUST00000034889.10|nan	yes	yes
ENSMUST00000072438.13	Cyp2b10	Cyp2b10	ENSMUSG00000030483	Cyp2b10|ENSMUST00000072438.13|nan	yes	yes
ENSMUST00000208575.2	Cars1	Cars1	ENSMUSG00000010755	Cars1|ENSMUST00000208575.2|nan	yes	yes
ENSMUST00000192962.2	Ubqln4	Ubqln4	ENSMUSG00000008604	Ubqln4|ENSMUST00000192962.2|nan	yes	yes
ENSMUST00000229140.2	Gpt	Gpt	ENSMUSG00000022546	Gpt|ENSMUST00000229140.2|nan	yes	yes
ENSMUST00000215284.3	Or2d36	Or2d36	ENSMUSG00000073896	Or2d36|ENSMUST00000215284.3|nan	yes	yes
ENSMUST00000222389.2	Polk	Polk	ENSMUSG00000021668	Polk|ENSMUST00000222389.2|nan	yes	yes
ENSMUST00000105659.9	Espn	Espn	ENSMUSG00000028943	Espn|ENSMUST00000105659.9|nan	yes	yes
ENSMUST00000055840.7	Or5ap2	Or5ap2	ENSMUSG00000046975	Or5ap2|ENSMUST00000055840.7|nan	yes	yes
ENSMUST00000109736.9	Rnaseh2a	Rnaseh2a	ENSMUSG00000052926	Rnaseh2a|ENSMUST00000109736.9|nan	yes	yes
ENSMUST00000049994.8	Rimkla	Rimkla	ENSMUSG00000048899	Rimkla|ENSMUST00000049994.8|nan	yes	yes
ENSMUST00000163107.9	Wiz	Wiz	ENSMUSG00000024050	Wiz|ENSMUST00000163107.9|nan	yes	yes
ENSMUST00000021685.8	Hhipl1	Hhipl1	ENSMUSG00000021260	Hhipl1|ENSMUST00000021685.8|nan	yes	yes
ENSMUST00000192638.6	Ildr2	Ildr2	ENSMUSG00000040612	Ildr2|ENSMUST00000192638.6|nan	yes	yes
ENSMUST00000178531.2	Rbmyf6	Rbmyf6	ENSMUSG00000094511	Rbmyf6|ENSMUST00000178531.2|nan	yes	yes
ENSMUST00000220409.2	Csrp2	Csrp2	ENSMUSG00000020186	Csrp2|ENSMUST00000220409.2|nan	yes	yes
ENSMUST00000085786.7	Card11	Card11	ENSMUSG00000036526	Card11|ENSMUST00000085786.7|nan	yes	yes
ENSMUST00000070758.10	Mpz	Mpz	ENSMUSG00000056569	Mpz|ENSMUST00000070758.10|nan	yes	yes
ENSMUST00000193059.6	Stx6	Stx6	ENSMUSG00000026470	Stx6|ENSMUST00000193059.6|nan	yes	yes
ENSMUST00000116094.5	Rnf186	Rnf186	ENSMUSG00000070661	Rnf186|ENSMUST00000116094.5|nan	yes	yes
ENSMUST00000037968.10	Uvrag	Uvrag	ENSMUSG00000035354	Uvrag|ENSMUST00000037968.10|nan	yes	yes
ENSMUST00000172271.9	Nfatc4	Nfatc4	ENSMUSG00000023411	Nfatc4|ENSMUST00000172271.9|nan	yes	yes
ENSMUST00000031058.15	Mapre3	Mapre3	ENSMUSG00000029166	Mapre3|ENSMUST00000031058.15|nan	yes	yes
ENSMUST00000140474.8	Kmo	Kmo	ENSMUSG00000039783	Kmo|ENSMUST00000140474.8|nan	yes	yes
ENSMUST00000028740.11	Ttbk2	Ttbk2	ENSMUSG00000090100	Ttbk2|ENSMUST00000028740.11|nan	yes	yes
ENSMUST00000223490.2	Cdk13	Cdk13	ENSMUSG00000041297	Cdk13|ENSMUST00000223490.2|nan	yes	yes
ENSMUST00000102997.8	Ccnc	Ccnc	ENSMUSG00000028252	Ccnc|ENSMUST00000102997.8|nan	yes	yes
ENSMUST00000093073.12	Zc3h18	Zc3h18	ENSMUSG00000017478	Zc3h18|ENSMUST00000093073.12|nan	yes	yes
ENSMUST00000027438.8	Ncl	Ncl	ENSMUSG00000026234	Ncl|ENSMUST00000027438.8|nan	yes	yes
ENSMUST00000001834.4	Rtcb	Rtcb	ENSMUSG00000001783	Rtcb|ENSMUST00000001834.4|nan	yes	yes
ENSMUST00000102563.2	Arrb2	Arrb2	ENSMUSG00000060216	Arrb2|ENSMUST00000102563.2|nan	yes	yes
ENSMUST00000184364.2	Ets1	Ets1	ENSMUSG00000032035	Ets1|ENSMUST00000184364.2|nan	yes	yes
ENSMUST00000185315.7	Hmgn3	Hmgn3	ENSMUSG00000066456	Hmgn3|ENSMUST00000185315.7|nan	yes	yes
ENSMUST00000115036.8	Tmub1	Tmub1	ENSMUSG00000028958	Tmub1|ENSMUST00000115036.8|nan	yes	yes
ENSMUST00000239108.2	Begain	Begain	ENSMUSG00000040867	Begain|ENSMUST00000239108.2|nan	yes	yes
ENSMUST00000098308.4	Dlg2	Dlg2	ENSMUSG00000052572	Dlg2|ENSMUST00000098308.4|nan	yes	yes
ENSMUST00000028836.7	Bmp2	Bmp2	ENSMUSG00000027358	Bmp2|ENSMUST00000028836.7|nan	yes	yes
ENSMUST00000164759.8	Sbf2	Sbf2	ENSMUSG00000038371	Sbf2|ENSMUST00000164759.8|nan	yes	yes
ENSMUST00000084502.7	Bub3	Bub3	ENSMUSG00000066979	Bub3|ENSMUST00000084502.7|nan	yes	yes
ENSMUST00000018547.9	Ggnbp2	Ggnbp2	ENSMUSG00000020530	Ggnbp2|ENSMUST00000018547.9|nan	yes	yes
ENSMUST00000078099.4	Proca1	Proca1	ENSMUSG00000044122	Proca1|ENSMUST00000078099.4|nan	yes	yes
ENSMUST00000119475.6	Emcn	Emcn	ENSMUSG00000054690	Emcn|ENSMUST00000119475.6|nan	yes	yes
ENSMUST00000060930.10	Ccdc158	Ccdc158	ENSMUSG00000050050	Ccdc158|ENSMUST00000060930.10|nan	yes	yes
ENSMUST00000104881.5	Or51f1e	Or51f1e	ENSMUSG00000078080	Or51f1e|ENSMUST00000104881.5|nan	yes	yes
ENSMUST00000071973.8	Ero1b	Ero1b	ENSMUSG00000057069	Ero1b|ENSMUST00000071973.8|nan	yes	yes
ENSMUST00000170555.8	Agtpbp1	Agtpbp1	ENSMUSG00000021557	Agtpbp1|ENSMUST00000170555.8|nan	yes	yes
ENSMUST00000047409.9	Vash2	Vash2	ENSMUSG00000037568	Vash2|ENSMUST00000047409.9|nan	yes	yes
ENSMUST00000168684.2	Ankrd55	Ankrd55	ENSMUSG00000049985	Ankrd55|ENSMUST00000168684.2|nan	yes	yes
ENSMUST00000029388.10	4930579G24Rik	4930579G24Rik	ENSMUSG00000027811	4930579G24Rik|ENSMUST00000029388.10|nan	yes	yes
ENSMUST00000174770.8	Rasgrp1	Rasgrp1	ENSMUSG00000027347	Rasgrp1|ENSMUST00000174770.8|nan	yes	yes
ENSMUST00000089465.6	Apol10b	Apol10b	ENSMUSG00000050014	Apol10b|ENSMUST00000089465.6|nan	yes	yes
ENSMUST00000025931.14	Pdcd4	Pdcd4	ENSMUSG00000024975	Pdcd4|ENSMUST00000025931.14|nan	yes	yes
ENSMUST00000029548.9	Nup210l	Nup210l	ENSMUSG00000027939	Nup210l|ENSMUST00000029548.9|nan	yes	yes
ENSMUST00000107212.8	Nbr1	Nbr1	ENSMUSG00000017119	Nbr1|ENSMUST00000107212.8|nan	yes	yes
ENSMUST00000055129.6	Or5t17	Or5t17	ENSMUSG00000049843	Or5t17|ENSMUST00000055129.6|nan	yes	yes
ENSMUST00000159146.2	Trappc14	Trappc14	ENSMUSG00000036948	Trappc14|ENSMUST00000159146.2|nan	yes	yes
ENSMUST00000021666.6	Abcd4	Abcd4	ENSMUSG00000021240	Abcd4|ENSMUST00000021666.6|nan	yes	yes
ENSMUST00000204870.2	Abcc9	Abcc9	ENSMUSG00000030249	Abcc9|ENSMUST00000204870.2|nan	yes	yes
ENSMUST00000110031.4	Auh	Auh	ENSMUSG00000021460	Auh|ENSMUST00000110031.4|nan	yes	yes
ENSMUST00000010502.13	Ifi35	Ifi35	ENSMUSG00000010358	Ifi35|ENSMUST00000010502.13|nan	yes	yes
ENSMUST00000094657.10	Dnajc8	Dnajc8	ENSMUSG00000054405	Dnajc8|ENSMUST00000094657.10|nan	yes	yes
ENSMUST00000171348.9	Msantd5f2	Msantd5f2	ENSMUSG00000095048	Msantd5f2|ENSMUST00000171348.9|nan	yes	yes
ENSMUST00000184688.8	Rhox2c	Rhox2c	ENSMUSG00000079637	Rhox2c|ENSMUST00000184688.8|nan	yes	yes
ENSMUST00000107147.2	Focad	Focad	ENSMUSG00000038368	Focad|ENSMUST00000107147.2|nan	yes	yes
ENSMUST00000078834.12	Il15ra	Il15ra	ENSMUSG00000023206	Il15ra|ENSMUST00000078834.12|nan	yes	yes
ENSMUST00000142736.9	Tbrg1	Tbrg1	ENSMUSG00000011114	Tbrg1|ENSMUST00000142736.9|nan	yes	yes
ENSMUST00000197135.5	Cnn3	Cnn3	ENSMUSG00000053931	Cnn3|ENSMUST00000197135.5|nan	yes	yes
ENSMUST00000099362.11	Slc4a11	Slc4a11	ENSMUSG00000074796	Slc4a11|ENSMUST00000099362.11|nan	yes	yes
ENSMUST00000161475.2	Spopfm2	Spopfm2	ENSMUSG00000074424	Spopfm2|ENSMUST00000161475.2|nan	yes	yes
ENSMUST00000192024.6	Slamf7	Slamf7	ENSMUSG00000038179	Slamf7|ENSMUST00000192024.6|nan	yes	yes
ENSMUST00000128787.8	Ndufv1	Ndufv1	ENSMUSG00000037916	Ndufv1|ENSMUST00000128787.8|nan	yes	yes
ENSMUST00000041361.14	Zfp335	Zfp335	ENSMUSG00000039834	Zfp335|ENSMUST00000041361.14|nan	yes	yes
ENSMUST00000080231.5	Or14j7	Or14j7	ENSMUSG00000059030	Or14j7|ENSMUST00000080231.5|nan	yes	yes
ENSMUST00000079589.11	Ubtf	Ubtf	ENSMUSG00000020923	Ubtf|ENSMUST00000079589.11|nan	yes	yes
ENSMUST00000164395.9	Ip6k1	Ip6k1	ENSMUSG00000032594	Ip6k1|ENSMUST00000164395.9|nan	yes	yes
ENSMUST00000168053.3	Gm10662	Gm10662	ENSMUSG00000095683	Gm10662|ENSMUST00000168053.3|nan	yes	yes
ENSMUST00000069965.9	Cdk17	Cdk17	ENSMUSG00000020015	Cdk17|ENSMUST00000069965.9|nan	yes	yes
ENSMUST00000107539.8	Cdk12	Cdk12	ENSMUSG00000003119	Cdk12|ENSMUST00000107539.8|nan	yes	yes
ENSMUST00000130102.8	Ppp1r42	Ppp1r42	ENSMUSG00000025916	Ppp1r42|ENSMUST00000130102.8|nan	yes	yes
ENSMUST00000221290.2	Mtr	Mtr	ENSMUSG00000021311	Mtr|ENSMUST00000221290.2|nan	yes	yes
ENSMUST00000044729.7	Itprid1	Itprid1	ENSMUSG00000037973	Itprid1|ENSMUST00000044729.7|nan	yes	yes
ENSMUST00000016488.13	Ppdpf	Ppdpf	ENSMUSG00000016344	Ppdpf|ENSMUST00000016488.13|nan	yes	yes
ENSMUST00000006293.5	Crkl	Crkl	ENSMUSG00000006134	Crkl|ENSMUST00000006293.5|nan	yes	yes
ENSMUST00000149967.9	Rab3il1	Rab3il1	ENSMUSG00000024663	Rab3il1|ENSMUST00000149967.9|nan	yes	yes
ENSMUST00000166426.9	Bag6	Bag6	ENSMUSG00000024392	Bag6|ENSMUST00000166426.9|nan	yes	yes
ENSMUST00000107562.2	Cacnb1	Cacnb1	ENSMUSG00000020882	Cacnb1|ENSMUST00000107562.2|nan	yes	yes
ENSMUST00000108401.3	Hnrnpul1	Hnrnpul1	ENSMUSG00000040725	Hnrnpul1|ENSMUST00000108401.3|nan	yes	yes
ENSMUST00000041272.10	Plekhm1	Plekhm1	ENSMUSG00000034247	Plekhm1|ENSMUST00000041272.10|nan	yes	yes
ENSMUST00000178174.3	Pou3f2	Pou3f2	ENSMUSG00000095139	Pou3f2|ENSMUST00000178174.3|nan	yes	yes
ENSMUST00000062944.7	Gja8	Gja8	ENSMUSG00000049908	Gja8|ENSMUST00000062944.7|nan	yes	yes
ENSMUST00000137357.5	Sumf2	Sumf2	ENSMUSG00000025538	Sumf2|ENSMUST00000137357.5|nan	yes	yes
ENSMUST00000114586.9	Cd99l2	Cd99l2	ENSMUSG00000035776	Cd99l2|ENSMUST00000114586.9|nan	yes	yes
ENSMUST00000025695.10	Ppp2r5b	Ppp2r5b	ENSMUSG00000024777	Ppp2r5b|ENSMUST00000025695.10|nan	yes	yes
ENSMUST00000207493.2	Kcnc3	Kcnc3	ENSMUSG00000062785	Kcnc3|ENSMUST00000207493.2|nan	yes	yes
ENSMUST00000148728.8	Tia1	Tia1	ENSMUSG00000071337	Tia1|ENSMUST00000148728.8|nan	yes	yes
ENSMUST00000000284.7	Trim25	Trim25	ENSMUSG00000000275	Trim25|ENSMUST00000000284.7|nan	yes	yes
ENSMUST00000214870.2	Or4a72	Or4a72	ENSMUSG00000111456	Or4a72|ENSMUST00000214870.2|nan	yes	yes
ENSMUST00000041973.7	Cmtm2b	Cmtm2b	ENSMUSG00000035785	Cmtm2b|ENSMUST00000041973.7|nan	yes	yes
ENSMUST00000049272.5	Hoxb5	Hoxb5	ENSMUSG00000038700	Hoxb5|ENSMUST00000049272.5|nan	yes	yes
ENSMUST00000036951.13	Pebp1	Pebp1	ENSMUSG00000032959	Pebp1|ENSMUST00000036951.13|nan	yes	yes
ENSMUST00000060703.6	Ccer1	Ccer1	ENSMUSG00000047025	Ccer1|ENSMUST00000060703.6|nan	yes	yes
ENSMUST00000037360.8	Rhov	Rhov	ENSMUSG00000034226	Rhov|ENSMUST00000037360.8|nan	yes	yes
ENSMUST00000075261.4	Or11g24	Or11g24	ENSMUSG00000057903	Or11g24|ENSMUST00000075261.4|nan	yes	yes
ENSMUST00000155764.8	Elapor2	Elapor2	ENSMUSG00000056004	Elapor2|ENSMUST00000155764.8|nan	yes	yes
